edge_gamma_npp,lambda_scale,val_CE_mean,val_CE_std,val_Aitchison_mean,val_CLR_MSE_mean,n_seeds
0.5,1.0,2.961360636384119,0.0005581803510170481,4.662776981964904,21.800400459482663,3
0.5,0.5,2.961562608661275,0.0004446866125939044,4.648189807919674,21.665056764944723,3
0.25,0.5,2.961563467419076,0.000489462372387019,4.611375858270754,21.325592887839786,3
0.5,2.0,2.961647653729246,0.00023528654896234094,4.676241817372696,21.925413441944325,3
0.25,1.0,2.9618059080151062,0.00037263972132250175,4.634966300081936,21.542955266756234,3
0.0,1.0,2.9622192088204184,0.0006422513203097723,4.657855500865284,21.755459880756717,3
0.1,2.0,2.962260781104964,0.0005113296768089058,4.688225527052146,22.037302354941374,3
0.1,1.0,2.9623669383933495,0.0009370177378155443,4.682688171769079,21.985631740414462,3
0.25,2.0,2.9623822953771444,0.0003652008747970807,4.664126209355578,21.8126727057259,3
0.5,0.0,2.9624976360240414,0.0010417990057674858,4.517956277191401,20.476968153494493,3
0.1,0.5,2.9625257864868497,0.000493784799131187,4.643873493348117,21.62650919229205,3
0.0,2.0,2.96255633185735,0.0005302831008431201,4.699730000061741,22.145605299947363,3
0.25,0.0,2.9627457516176303,0.0011456154458455135,4.553521665404628,20.7976274867715,3
0.0,0.5,2.9628765445645295,0.0007939965775695532,4.653745361877949,21.719303536130955,3
0.1,0.0,2.963170501192731,0.001067197290084876,4.504002348561131,20.351867477633203,3
0.0,0.0,2.9633388854470426,0.0010230601760001362,4.515623715524204,20.45630520317776,3
