experiment,model,feature_set,feature,target,sample,n,pearson,spearman,mutual_information,horizon,lag,is_predictive
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_9,dBTC_y_lag_9,future_rms_h2,development_train,18242,-0.0008897545846181613,0.0018927184964866628,0.0,2,9,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_10,dBTC_y_lag_10,future_rms_h2,development_train,18241,0.0029468519393363716,0.012915635128110337,0.0,2,10,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_11,dBTC_y_lag_11,future_rms_h2,development_train,18240,-0.002382763317423489,0.004493701159910452,0.0,2,11,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_12,dBTC_y_lag_12,future_rms_h2,development_train,18239,-0.0010762071436640442,-0.0030161368786608303,0.0,2,12,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_13,dBTC_y_lag_13,future_rms_h2,development_train,18238,0.005391250746233489,0.005881666695741804,0.01000021071458157,2,13,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_14,dBTC_y_lag_14,future_rms_h2,development_train,18237,0.004767442658636078,0.010176163505583747,0.0,2,14,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_15,dBTC_y_lag_15,future_rms_h2,development_train,18236,0.0053279627835331545,0.01308005093644187,0.0,2,15,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_16,dBTC_y_lag_16,future_rms_h2,development_train,18235,-0.001572773818300601,0.0014665020624990215,0.00549944234612898,2,16,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_17,dBTC_y_lag_17,future_rms_h2,development_train,18234,0.001062550868328663,0.0036134833137724713,0.0042478337119771226,2,17,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_18,dBTC_y_lag_18,future_rms_h2,development_train,18233,0.008656500900580276,0.0012730346295461,0.0012280948069554043,2,18,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_19,dBTC_y_lag_19,future_rms_h2,development_train,18232,0.0019594203106237254,0.00040252620223616537,0.0,2,19,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_20,dBTC_y_lag_20,future_rms_h2,development_train,18231,0.006445021040559238,0.005719120976106082,0.00898658745253833,2,20,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_0,dBTC_y_lag_0,future_rms_h3,development_train,18251,0.009710403162570843,0.010950498936913704,0.005249574026760406,3,0,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_1,dBTC_y_lag_1,future_rms_h3,development_train,18250,0.00546900773343023,0.011534710323276853,0.000962541911467163,3,1,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_2,dBTC_y_lag_2,future_rms_h3,development_train,18249,0.003718767084765014,0.012352129497957363,0.0036625178104641165,3,2,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_3,dBTC_y_lag_3,future_rms_h3,development_train,18248,0.0027044943522895972,0.012238104577251096,0.0008619627271677643,3,3,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_4,dBTC_y_lag_4,future_rms_h3,development_train,18247,0.004237129034492486,0.008603303657009708,0.0,3,4,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_5,dBTC_y_lag_5,future_rms_h3,development_train,18246,0.007909268931664036,0.011105130743897764,0.0032422233586872906,3,5,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_6,dBTC_y_lag_6,future_rms_h3,development_train,18245,0.00919531348826824,0.008606687586387848,0.0046830175584524625,3,6,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_7,dBTC_y_lag_7,future_rms_h3,development_train,18244,0.009047076547222054,0.006873141702358883,0.0,3,7,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_8,dBTC_y_lag_8,future_rms_h3,development_train,18243,0.0006927709852765499,0.0013959024449959508,0.0,3,8,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_9,dBTC_y_lag_9,future_rms_h3,development_train,18242,0.005231873369490767,0.010248267351831594,0.0008469553019736509,3,9,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_10,dBTC_y_lag_10,future_rms_h3,development_train,18241,-0.00371652498333533,0.007977346697116092,0.010203683827590737,3,10,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_11,dBTC_y_lag_11,future_rms_h3,development_train,18240,0.00253628719395216,0.0031203865431682545,0.0,3,11,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_12,dBTC_y_lag_12,future_rms_h3,development_train,18239,-0.0016595812060447902,-0.0006417717354698937,0.0035997646471210842,3,12,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_13,dBTC_y_lag_13,future_rms_h3,development_train,18238,0.0070966357762872285,0.009428699915782289,0.0062005440520724875,3,13,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_14,dBTC_y_lag_14,future_rms_h3,development_train,18237,0.0038082480481841743,0.009956724423660654,0.0009615833006346719,3,14,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_15,dBTC_y_lag_15,future_rms_h3,development_train,18236,0.0013019076532478208,0.009885151512768073,0.002370854591821292,3,15,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_16,dBTC_y_lag_16,future_rms_h3,development_train,18235,0.00306581211128932,0.005265041666949952,0.0007435593661044848,3,16,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_17,dBTC_y_lag_17,future_rms_h3,development_train,18234,0.0027096025196651774,0.0013781114353357878,0.0,3,17,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_18,dBTC_y_lag_18,future_rms_h3,development_train,18233,0.0061274035253507456,0.0010939052276012031,0.0,3,18,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_19,dBTC_y_lag_19,future_rms_h3,development_train,18232,0.006835592657050847,0.00569318094758667,0.008100323321573732,3,19,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_20,dBTC_y_lag_20,future_rms_h3,development_train,18231,0.005678474815346765,0.010419098171319488,0.004011110626611192,3,20,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_0,dBTC_y_lag_0,future_rms_h6,development_train,18251,0.0060918591924591994,0.010446065977982777,0.0,6,0,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_1,dBTC_y_lag_1,future_rms_h6,development_train,18250,0.005832966711742543,0.011830043953534434,0.006342876160105426,6,1,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_2,dBTC_y_lag_2,future_rms_h6,development_train,18249,0.006292214534708697,0.012981404626998042,0.0055471476530053465,6,2,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_3,dBTC_y_lag_3,future_rms_h6,development_train,18248,0.0060973229207478274,0.010635206773491038,0.0,6,3,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_4,dBTC_y_lag_4,future_rms_h6,development_train,18247,0.008700761610339348,0.010084500144003814,0.008553443867680421,6,4,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_5,dBTC_y_lag_5,future_rms_h6,development_train,18246,0.005441378991073028,0.007643645185012272,0.0010391742930258019,6,5,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_6,dBTC_y_lag_6,future_rms_h6,development_train,18245,0.00773389011617417,0.011375355728439519,0.0,6,6,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_7,dBTC_y_lag_7,future_rms_h6,development_train,18244,0.0017192509087619178,0.005956989601392618,0.0011644749701194002,6,7,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_8,dBTC_y_lag_8,future_rms_h6,development_train,18243,0.0032963065470145003,0.00555600779193368,0.005572021054440768,6,8,True
