experiment,model,feature_set,feature,target,sample,n,pearson,spearman,mutual_information
A_contemporaneous,nonparametric_dependency,BTC_y,BTC_y,price_t,development_train,18253,-0.03376721297246051,-0.06918415468395504,0.06158211891071641
B_price_t_plus_1,nonparametric_dependency,BTC_y,BTC_y,price_t_plus_1,development_train,18252,-0.03372675691652169,-0.06903084395129937,0.060254331827032104
