experiment,model,feature_set,regime_scheme,split,class_id,class_name,precision,recall,f1,support,fold
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_1,0,EXTREME_LOW,0.0,0.0,0.0,64,1
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_1,1,LOW,0.2845849802371542,0.36,0.31788079470198677,400,1
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_1,2,MID,0.26247030878859856,0.36833333333333335,0.3065187239944521,600,1
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_1,3,HIGH,0.5026674570243035,0.6167272727272727,0.5538863487916394,1375,1
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_extreme_4_5,fold_1,4,EXTREME_HIGH,0.0,0.0,0.0,596,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_1,0,EXTREME_LOW,0.0,0.0,0.0,64,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_1,1,LOW,0.3493975903614458,0.29,0.31693989071038253,400,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_1,2,MID,0.29821717990275526,0.30666666666666664,0.30238290879211177,600,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_1,3,HIGH,0.506124448799608,0.7512727272727273,0.6048009367681498,1375,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_extreme_4_5,fold_1,4,EXTREME_HIGH,0.3333333333333333,0.02348993288590604,0.0438871473354232,596,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_1,0,EXTREME_LOW,0.125,0.015625,0.027777777777777776,64,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_1,1,LOW,0.2013358778625954,0.5275,0.2914364640883978,400,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_1,2,MID,0.18309859154929578,0.2816666666666667,0.22193040052527904,600,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_1,3,HIGH,0.4966442953020134,0.37672727272727274,0.4284532671629446,1375,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_extreme_4_5,fold_1,4,EXTREME_HIGH,0.23076923076923078,0.0050335570469798654,0.009852216748768473,596,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_1,0,EXTREME_LOW,0.0,0.0,0.0,64,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_1,1,LOW,0.3598014888337469,0.3625,0.36114570361145704,400,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_1,2,MID,0.2608695652173913,0.26,0.2604340567612688,600,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_1,3,HIGH,0.5032354405176704,0.7352727272727273,0.5975177304964538,1375,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_extreme_4_5,fold_1,4,EXTREME_HIGH,0.3333333333333333,0.013422818791946308,0.025806451612903226,596,1
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_1,0,VERY_LOW,0.08204283360790775,1.0,0.15164433617539586,249,1
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_1,1,LOW,0.0,0.0,0.0,322,1
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_1,2,MID,0.0,0.0,0.0,389,1
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_1,3,HIGH,0.0,0.0,0.0,569,1
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_quintiles,fold_1,4,VERY_HIGH,0.0,0.0,0.0,1506,1
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_1,0,VERY_LOW,0.24652087475149106,0.4979919678714859,0.32978723404255317,249,1
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_1,1,LOW,0.0,0.0,0.0,322,1
