experiment,model,model_family,feature_set,backend,regime_scheme,split,seed,n_train,n_eval,accuracy,balanced_accuracy,macro_f1,log_loss,fold
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,3_regimes,fold_2,42,6073,3035,0.4958813838550247,0.4561889485312707,0.4567960879392863,1.025326225853822,2
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,5_extreme_4_5,fold_2,42,6073,3035,0.2257001647446458,0.2,0.07365591397849462,27.908594881194496,2
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,5_extreme_4_5,fold_2,42,6073,3035,0.40691927512355847,0.24851433372092316,0.23508444887223784,1.2980977159916032,2
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,5_extreme_4_5,fold_2,42,6073,3035,0.3756177924217463,0.23569601758587666,0.19254620055851895,1.327776813857199,2
I_J_regime_classification,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,5_extreme_4_5,fold_2,42,6073,3035,0.40494233937397034,0.24854527360684395,0.2255579061758509,1.3009248714890753,2
I_J_regime_classification,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,5_extreme_4_5,fold_2,42,6073,3035,0.45107084019769356,0.27098950781247316,0.26623314731767045,1.2657529924079862,2
I_J_regime_classification,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,5_extreme_4_5,fold_2,42,6073,3035,0.37627677100494233,0.23697718419090757,0.22458868149527653,1.346411084276247,2
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,5_extreme_4_5,fold_2,42,6073,3035,0.4639209225700165,0.276965326191721,0.2694488993923826,1.2548872782295675,2
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,5_quintiles,fold_2,42,6073,3035,0.11927512355848435,0.2,0.04262584633500147,31.744542177631015,2
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,5_quintiles,fold_2,42,6073,3035,0.27479406919275123,0.2581223231324958,0.24668570478927987,1.5830480345573292,2
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,5_quintiles,fold_2,42,6073,3035,0.23756177924217464,0.24976830196533611,0.20166092302323474,1.6098117994527539,2
I_J_regime_classification,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,5_quintiles,fold_2,42,6073,3035,0.26688632619439867,0.2671158483164039,0.25104098367621497,1.5794347484471634,2
I_J_regime_classification,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,5_quintiles,fold_2,42,6073,3035,0.31927512355848436,0.2921743120017101,0.292032798877017,1.546508085484782,2
I_J_regime_classification,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,5_quintiles,fold_2,42,6073,3035,0.24909390444810545,0.2434845282673402,0.23527667953673795,1.6364230753787068,2
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,5_quintiles,fold_2,42,6073,3035,0.30675453047775947,0.2819807744249359,0.2826041165276285,1.555978875808354,2
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,3_regimes,fold_3,42,9108,3035,0.28665568369028005,0.3333333333333333,0.14852752880921896,25.711535284164288,3
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,3_regimes,fold_3,42,9108,3035,0.3766062602965404,0.3884645016519628,0.36046759134652956,1.1106936322980756,3
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,3_regimes,fold_3,42,9108,3035,0.3436573311367381,0.35799435477275887,0.30899356126316474,1.1237885241026566,3
I_J_regime_classification,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,3_regimes,fold_3,42,9108,3035,0.39209225700164746,0.392753456695674,0.3908376709777253,1.1140281693441458,3
I_J_regime_classification,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,3_regimes,fold_3,42,9108,3035,0.44612850082372324,0.4386920096515708,0.4411851303938865,1.0490154923136128,3
I_J_regime_classification,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,3_regimes,fold_3,42,9108,3035,0.37166392092257,0.37149820493385644,0.36913830678791176,1.1528084695085827,3
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,3_regimes,fold_3,42,9108,3035,0.45370675453047776,0.44947884294594215,0.4511129809656132,1.0552889449955756,3
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,5_extreme_4_5,fold_3,42,9108,3035,0.2698517298187809,0.2,0.08500259470679813,26.317211173075318,3
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,5_extreme_4_5,fold_3,42,9108,3035,0.3525535420098847,0.23343241236330795,0.18857498949946933,1.30099438668968,3
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,5_extreme_4_5,fold_3,42,9108,3035,0.3255354200988468,0.2130882906808817,0.17132040593192036,1.3179483709660964,3
I_J_regime_classification,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,5_extreme_4_5,fold_3,42,9108,3035,0.3644151565074135,0.2321754573920233,0.22385895670969083,1.3087552833410159,3
I_J_regime_classification,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,5_extreme_4_5,fold_3,42,9108,3035,0.42174629324546953,0.26328635842313913,0.2560296991207843,1.2476869695968928,3
I_J_regime_classification,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,5_extreme_4_5,fold_3,42,9108,3035,0.3317957166392092,0.21362053040992302,0.20905172280898351,1.3696385857841527,3
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,5_extreme_4_5,fold_3,42,9108,3035,0.41680395387149916,0.261364709093867,0.25342096952247356,1.2602786190552946,3
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,5_quintiles,fold_3,42,9108,3035,0.15617792421746293,0.2,0.05403248788828726,30.414430421591106,3
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,5_quintiles,fold_3,42,9108,3035,0.22899505766062603,0.24217447574828155,0.20516475310973012,1.6151565883719226,3
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,5_quintiles,fold_3,42,9108,3035,0.20197693574958814,0.22204322328847786,0.17074883599256685,1.6338639054682706,3
I_J_regime_classification,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,5_quintiles,fold_3,42,9108,3035,0.24085667215815487,0.24148310090276848,0.2346372220433508,1.6240247150949425,3
I_J_regime_classification,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,5_quintiles,fold_3,42,9108,3035,0.2800658978583196,0.2729455545529003,0.2757266716250379,1.5607383589893444,3
I_J_regime_classification,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,5_quintiles,fold_3,42,9108,3035,0.22075782537067545,0.22165119143811132,0.21963383299652522,1.6774113206209884,3
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,5_quintiles,fold_3,42,9108,3035,0.27545304777594726,0.27408532144754977,0.27370146020035213,1.5655617222699987,3
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,3_regimes,fold_4,42,12143,3035,0.4072487644151565,0.3333333333333333,0.19292905642706626,21.36492008139102,4
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,3_regimes,fold_4,42,12143,3035,0.4369028006589786,0.4341561069422217,0.4003457877778917,1.041109851002984,4
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,3_regimes,fold_4,42,12143,3035,0.37957166392092256,0.368884415473109,0.34960840769225926,1.094240563993265,4
I_J_regime_classification,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,3_regimes,fold_4,42,12143,3035,0.43360790774299834,0.4218676557276762,0.3901365703602373,1.0465170541950375,4
I_J_regime_classification,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,3_regimes,fold_4,42,12143,3035,0.48237232289950577,0.4749743388067089,0.4753855844174299,1.0041860009067296,4
I_J_regime_classification,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,3_regimes,fold_4,42,12143,3035,0.38879736408566723,0.3867786269085196,0.38082171587625097,1.103269595254819,4
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,3_regimes,fold_4,42,12143,3035,0.4899505766062603,0.48345478956640514,0.4825523800729796,1.0027418721910981,4
