experiment,model,baseline_model,feature_set,contrast,regime_scheme,split,gain_accuracy,gain_balanced_accuracy,gain_macro_f1,gain_log_loss,relative_gain_macro_f1
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,5_quintiles,fold_2,0.11828665568369029,0.049768301965336104,0.15903507668823327,30.13473037817826,3.730954112637627
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,5_quintiles,fold_2,-0.007907742998352563,0.008993525183908113,0.004355278886935099,0.0036132861101658698,0.0176551733739716
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,5_quintiles,fold_2,-0.012520593080724896,-0.010193537576774214,-0.009428682349388484,-0.00947079032357201,-0.032286381480592374
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,3_regimes,fold_3,0.057001647446458026,0.024661021439425557,0.16046603245394578,24.58774676006163,1.0803790633321695
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,3_regimes,fold_3,0.015485996705107086,0.00428895504371124,0.030370079631195757,-0.0033345370460702295,0.08425190047667841
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,3_regimes,fold_3,0.007578253706754523,0.010786833294371356,0.009927850571726682,-0.006273452681962777,0.022502686259763927
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,5_extreme_4_5,fold_3,0.05568369028006587,0.013088290680881687,0.08631781122512222,24.99926280210922,1.0154726631917614
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,5_extreme_4_5,fold_3,0.011861614497528816,-0.0012569549712846406,0.035283967210221506,-0.007760896651335836,0.18710841402603284
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,5_extreme_4_5,fold_3,-0.0049423393739703725,-0.0019216493292721348,-0.002608729598310766,-0.012591649458401744,-0.01018916792571034
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,5_quintiles,fold_3,0.045799011532125206,0.022043223288477853,0.11671634810427958,28.780566516122835,2.160114269503782
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,5_quintiles,fold_3,0.011861614497528844,-0.0006913748455130708,0.029472468933620682,-0.008868126723019953,0.14365269124886026
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,5_quintiles,fold_3,-0.004612850082372333,0.0011397668946494521,-0.0020252114246857578,-0.004823363280654247,-0.007344996451557839
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,3_regimes,fold_4,-0.02767710049423394,0.0355510821397757,0.156679351265193,20.270679517397756,0.8121086277349991
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,3_regimes,fold_4,-0.00329489291598023,-0.01228845121454547,-0.010209217417654404,-0.005407203192053567,-0.02550099870994116
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,3_regimes,fold_4,0.007578253706754523,0.008480450759696223,0.007166795655549729,0.0014441287156314875,0.015075753010753257
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,5_extreme_4_5,fold_4,-0.026688632619439878,0.018440097032546898,0.09694252394265788,21.52326529431434,0.9050152291493625
