Modelo,CE_mean,CE_std,CE_median,CE_min,CE_max,KL_mean,KL_std,KL_median,KL_min,KL_max,JS_mean,JS_std,JS_median,JS_min,JS_max,MAE_nodo_mean,MAE_nodo_std,MAE_nodo_median,MAE_nodo_min,MAE_nodo_max,RMSE_nodo_mean,RMSE_nodo_std,RMSE_nodo_median,RMSE_nodo_min,RMSE_nodo_max,Aitchison_mean,Aitchison_std,Aitchison_median,Aitchison_min,Aitchison_max,Aitchison_activos_mean,Aitchison_activos_std,Aitchison_activos_median,Aitchison_activos_min,Aitchison_activos_max
Persistencia,3.056244094122968,0.0,3.0562440941229676,3.0562440941229676,3.0562440941229676,0.26393804985013597,0.0,0.26393804985013597,0.26393804985013597,0.26393804985013597,0.051145818612689055,0.0,0.051145818612689055,0.051145818612689055,0.051145818612689055,0.0009685200747843655,0.0,0.0009685200747843656,0.0009685200747843656,0.0009685200747843656,0.008657758098018586,0.0,0.008657758098018586,0.008657758098018586,0.008657758098018586,2.777890484017289,0.0,2.7778904840172887,2.7778904840172887,2.7778904840172887,2.8721510137556137,0.0,2.872151013755613,2.872151013755613,2.872151013755613
GAT libre,2.974464384747014,0.0006118682522093611,2.9742102536643187,2.9740205336546333,2.97516236692209,0.18215834047418275,0.0006118682522092674,0.18190420939148716,0.18171448938180232,0.1828563226492588,0.03895266979990287,3.136646571569664e-05,0.038937106886216453,0.038932128086731306,0.03898877442676085,0.0008424693578046642,9.150795122771635e-08,0.0008424447170844143,0.000842392693158653,0.0008425706631709254,0.007271889732273425,8.93753748580953e-06,0.007277003288398256,0.007261569692388238,0.007277096216033781,4.6008715964659475,0.028747423203499177,4.58509644674019,4.583465440303362,4.6340529023542905,3.3079782229140267,0.019547594770902836,3.3140548607817863,3.286114009167535,3.323765798792758
GAT + NPP,2.9740794592643893,0.0002182457701129407,2.9741766717314517,2.973829498819683,2.974232207242033,0.18177341499155797,0.0002182457701128771,0.1818706274586204,0.18152345454685181,0.18192616296920175,0.03895897507922566,4.504388056517055e-05,0.038978916052675956,0.03890740267716287,0.03899060650783815,0.0008421258161360429,3.488930128355636e-07,0.0008422639796812069,0.0008417290005377786,0.0008423844681891429,0.007262815478889084,8.52945161597455e-06,0.007266587130689039,0.007253050406394783,0.007268808899583432,4.648013057403733,0.033730194004977544,4.6620361914799675,4.6095334149458616,4.672469565785371,3.3093578987094596,0.010858643801358354,3.3083022266610875,3.2990656463514054,3.320705823115886
Cabeza energetica NPP,2.9743323741791,0.0001462964161165871,2.9743204640467544,2.9741923968878967,2.974484261602648,0.18202632990626863,0.0001462964161164313,0.18201441977392332,0.18188635261506586,0.18217821732981673,0.03907923215403441,3.675512128265265e-05,0.039085480619982446,0.039039753327877756,0.03911246251424302,0.0008441646855280688,3.3805936732477263e-07,0.0008440331590568866,0.0008439121568750264,0.0008445487406522932,0.007277523251409813,7.244210423228423e-06,0.007278162474565589,0.007269980612075239,0.00728442666758861,4.6165651450561045,0.04024712293756145,4.623974065329072,4.5731283073159235,4.652593062523318,3.3072688167378987,0.013559490286450933,3.3051311634273857,3.2949051229456963,3.321770163840614
