seed,Modelo,CE,KL,JS,Aitchison,MAE_nodo,RMSE_nodo,Error_cierre_max,N_test,Aitchison_activos
11,Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,2.872151013755613
11,GAT libre,2.9742102536643187,0.18190420939148716,0.038937106886216453,4.583465440303362,0.000842392693158653,0.007277096216033781,3.3306690738754696e-16,2016,3.3140548607817863
11,GAT + NPP,2.974232207242033,0.18192616296920175,0.03890740267716287,4.6095334149458616,0.0008417290005377786,0.007266587130689039,4.440892098500626e-16,2016,3.2990656463514054
11,Cabeza energetica NPP,2.974484261602648,0.18217821732981673,0.039085480619982446,4.5731283073159235,0.0008445487406522932,0.00728442666758861,4.440892098500626e-16,2016,3.2949051229456963
23,Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,2.872151013755613
23,GAT libre,2.9740205336546333,0.18171448938180232,0.038932128086731306,4.58509644674019,0.0008424447170844143,0.007261569692388238,4.440892098500626e-16,2016,3.286114009167535
23,GAT + NPP,2.973829498819683,0.18152345454685181,0.03899060650783815,4.6620361914799675,0.0008423844681891429,0.007253050406394783,4.440892098500626e-16,2016,3.3083022266610875
23,Cabeza energetica NPP,2.9741923968878967,0.18188635261506586,0.039039753327877756,4.623974065329072,0.0008440331590568866,0.007269980612075239,4.440892098500626e-16,2016,3.3051311634273857
42,Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,2.872151013755613
42,GAT libre,2.97516236692209,0.1828563226492588,0.03898877442676085,4.6340529023542905,0.0008425706631709254,0.007277003288398256,3.3306690738754696e-16,2016,3.323765798792758
42,GAT + NPP,2.9741766717314517,0.1818706274586204,0.038978916052675956,4.672469565785371,0.0008422639796812069,0.007268808899583432,4.440892098500626e-16,2016,3.320705823115886
42,Cabeza energetica NPP,2.9743204640467544,0.18201441977392332,0.03911246251424302,4.652593062523318,0.0008439121568750264,0.007278162474565589,4.440892098500626e-16,2016,3.321770163840614
