Modelo,CE_mean,CE_std,CE_median,CE_min,CE_max,KL_mean,KL_std,KL_median,KL_min,KL_max,JS_mean,JS_std,JS_median,JS_min,JS_max,MAE_nodo_mean,MAE_nodo_std,MAE_nodo_median,MAE_nodo_min,MAE_nodo_max,RMSE_nodo_mean,RMSE_nodo_std,RMSE_nodo_median,RMSE_nodo_min,RMSE_nodo_max,Aitchison_mean,Aitchison_std,Aitchison_median,Aitchison_min,Aitchison_max,Aitchison_activos_mean,Aitchison_activos_std,Aitchison_activos_median,Aitchison_activos_min,Aitchison_activos_max
Persistencia,3.0562440941229676,0.0,3.0562440941229676,3.0562440941229676,3.0562440941229676,0.26393804985013597,0.0,0.26393804985013597,0.26393804985013597,0.26393804985013597,0.051145818612689055,0.0,0.051145818612689055,0.051145818612689055,0.051145818612689055,0.0009685200747843656,0.0,0.0009685200747843656,0.0009685200747843656,0.0009685200747843656,0.008657758098018586,0.0,0.008657758098018586,0.008657758098018586,0.008657758098018586,2.7778904840172887,0.0,2.7778904840172887,2.7778904840172887,2.7778904840172887,2.8721510142815867,0.0,2.8721510142815867,2.8721510142815867,2.8721510142815867
GAT 100% libre,2.975591649175379,0.00039576938745269636,2.975453266756576,2.9751678108540185,2.9762560814907393,0.18328560490254756,0.0003957693874527256,0.18314722248374488,0.18286176658118714,0.18395003721790845,0.039102181690640246,9.8551286811097e-05,0.0390844593261897,0.0389981009512574,0.0393173346572717,0.0008442450857756229,1.2045161054883943e-06,0.0008441185133468791,0.0008427469216634077,0.0008469409858314394,0.007273886516126084,1.0990204330600523e-05,0.007272721383067525,0.007259478353460547,0.007288840933773751,4.588169405073102,0.028970159164330482,4.581236850395976,4.547688587370109,4.632298013427328,3.307702698534949,0.007918058287622721,3.306812633266354,3.298268023581906,3.3206023082843883
GAT NPP solo aristas,2.9748371663712234,0.0004901819753792959,2.9749605332881686,2.974170105925861,2.9756356431073554,0.18253112209839237,0.0004901819753793302,0.1826544890153377,0.18186406165303015,0.18332959883452452,0.03891161608896408,9.359301521409009e-05,0.03892877541258187,0.038802947165943895,0.039105125738391804,0.0008418355497775106,1.1373288794460892e-06,0.0008421940703843487,0.0008398013603203359,0.0008434869698521239,0.007276277410645629,1.058083936595499e-05,0.0072783311186330555,0.007255704446978272,0.007294799459311464,4.603160039745216,0.036785968111296787,4.585634201487545,4.564632890009751,4.662778196804912,3.3049370957219075,0.014501854879714084,3.307306510295102,3.2793458506776934,3.3264053678893744
GAT + NPP,2.9742894960391193,0.00039135412411505,2.9742275230435515,2.973702380315169,2.974777178609874,0.18198345176628838,0.00039135412411497823,0.18192147877072054,0.18139633604233815,0.18247113433704276,0.038972451914780375,4.49046740049779e-05,0.03898164971363487,0.038897328238632345,0.039053032557448346,0.0008427585580543589,6.315994201354755e-07,0.0008427222118701502,0.0008417275746344042,0.0008437765040080837,0.007270833991103408,1.5150535597851332e-05,0.007268072708690107,0.007254856178790051,0.007297121352207258,4.657618141961068,0.025178613154133774,4.666019479734239,4.611264713831837,4.688675398625885,3.316537069037787,0.01189081993538604,3.3178148212095833,3.2993892658588853,3.336459468243357
